preferred_playing_style,time_to_click,time_to_fall
MOUSE_AND_KEYBOARD,2.157493877551019,6.2422007654277
PHONE,2.89675,7.1787083110711
GAMEPAD,2.625578947368421,7.6692528986496
MOUSE_AND_KEYBOARD,2.2108091286307054,6.891427510655
PHONE,2.42,7.258125706649
GAMEPAD,2.34665,7.8703228551187
MOUSE_AND_KEYBOARD,2.1383413654618457,7.1503468918385
PHONE,3.081,6.8147154633238
GAMEPAD,2.3143157894736848,7.8599352621546
MOUSE_AND_KEYBOARD,2.2018,7.0267572747753
PHONE,2.4598,7.2235949599271
GAMEPAD,2.811785714285714,6.7838167361844
MOUSE_AND_KEYBOARD,2.147048689138578,7.2834068705864
PHONE,2.1405,7.3072487913018
GAMEPAD,2.359111111111111,6.6366742950294
MOUSE_AND_KEYBOARD,2.218176691729323,7.854284846898
PHONE,2.881,7.1441781268323
GAMEPAD,2.806695652173913,6.6262038915955
MOUSE_AND_KEYBOARD,2.2264169611307403,5.9770131676545
PHONE,1.548,7.7433107193072
GAMEPAD,2.279533333333333,7.1213732107586
MOUSE_AND_KEYBOARD,2.2102365145228213,7.3131344646622
PHONE,2.906333333333334,6.9901134209705
GAMEPAD,2.6980000000000004,7.3800482315535
MOUSE_AND_KEYBOARD,2.2069126984126983,7.4720910414259
PHONE,3.0302,7.0325230332586
GAMEPAD,2.820470588235294,7.6525199143252
MOUSE_AND_KEYBOARD,2.094850364963504,7.4810150890567
PHONE,2.6553333333333335,7.4473505220324
GAMEPAD,2.708,6.3829816287298
MOUSE_AND_KEYBOARD,2.2179117647058826,6.9139384648904
PHONE,2.8905000000000003,7.7249412817872
GAMEPAD,2.43865,6.7772417853271
MOUSE_AND_KEYBOARD,2.095574074074074,7.1981635636314
PHONE,3.225,7.2809867781021
GAMEPAD,2.685,7.206628549656
MOUSE_AND_KEYBOARD,2.1481220472440947,7.2339448015162
PHONE,2.4025,7.007374650017
GAMEPAD,2.376375,5.2549452827418
MOUSE_AND_KEYBOARD,2.198832236842106,7.0546838427552
PHONE,2.2399999999999998,7.5009122466597
GAMEPAD,2.4304583333333336,7.2617421787901
MOUSE_AND_KEYBOARD,2.236334710743803,6.9266906372737
PHONE,3.8256666666666668,7.6418369897727
GAMEPAD,2.6573125,7.1553729471486
MOUSE_AND_KEYBOARD,2.1584007782101167,7.2638723932873
PHONE,1.9874999999999998,7.4489326327563
GAMEPAD,2.3933684210526316,7.2991396448345
MOUSE_AND_KEYBOARD,2.1841886120996445,7.5032990908463
PHONE,2.427,7.4821095411365
GAMEPAD,2.5010499999999993,7.7956346465017
MOUSE_AND_KEYBOARD,2.1810106007067134,7.2274982589756
PHONE,2.5820000000000003,7.0078331814188
GAMEPAD,2.049230769230769,7.2280875306695
MOUSE_AND_KEYBOARD,2.210415441176469,6.3621645249934
GAMEPAD,2.8465,7.0632055155196
MOUSE_AND_KEYBOARD,2.1400969162995587,7.5339623801897
PHONE,1.9095,7.3217362552961
GAMEPAD,2.4061333333333335,7.2469391022207
MOUSE_AND_KEYBOARD,2.0187555555555576,7.4054568777454
PHONE,2.309,6.4415380184547
GAMEPAD,2.4749999999999996,7.4514720083577
MOUSE_AND_KEYBOARD,2.1773408239700376,7.7770651957797
PHONE,2.9146666666666667,7.1821403838257
GAMEPAD,2.615357142857143,6.1576471802882
MOUSE_AND_KEYBOARD,2.1388611111111104,7.0377275993436
PHONE,2.3265000000000002,6.6537585532587
GAMEPAD,2.5513461538461533,7.8735385102865
MOUSE_AND_KEYBOARD,2.174260330578512,6.7521099710425
PHONE,2.4472,7.3936549398809
GAMEPAD,2.4864117647058817,6.6845599421064
MOUSE_AND_KEYBOARD,2.177294605809128,7.4446307867569
PHONE,2.189666666666667,7.6663242006571
GAMEPAD,2.731,6.1866885891211
MOUSE_AND_KEYBOARD,2.088204,7.3701124920568
PHONE,2.515,6.8739987954157
GAMEPAD,2.4783636363636363,7.3223190434557
MOUSE_AND_KEYBOARD,2.0806297577854656,5.8453837669965
PHONE,2.2818,7.2653260849318
GAMEPAD,2.3595833333333336,6.5209287879195
MOUSE_AND_KEYBOARD,2.15753237410072,7.3996891821087
PHONE,5.568,7.0116900736981
GAMEPAD,2.426,7.1641754577379
MOUSE_AND_KEYBOARD,2.2029073359073337,7.041348175925
PHONE,2.4026,6.9123989735896
